date,psr,m2,ccpi,dspic,ir,ffer,sp500_close,sp500_return,sp500_BBB_5_2.0,sp500_BBP_5_2.0,sp500_ema_7,sp500_ema_22,sp500_ema_50,sp500_ema_252
2015-09-21,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1966.97,0.004565813598361723,2.814959191447986,0.3069047655700178,1969.1445374210296,1979.4419273415403,2015.3819827811108,2030.246904344966
2015-09-22,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1942.74,-0.01231843902042229,4.0003731432483605,0.1459620349143596,1962.543403065772,1976.2504553987978,2012.5332775740085,2029.555150160421
2015-09-23,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1938.76,-0.002048652933485662,3.776913293672485,0.2219015611801074,1956.597552299329,1972.9904157989024,2009.6402078652238,2028.837401937809
2015-09-24,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1932.24,-0.0033629742722152134,2.6324718542667624,0.1975460304661929,1950.5081642244968,1969.4469013816067,2006.6049055959993,2028.0737861122138
2015-09-25,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1931.34,-0.0004657806483666649,2.673280324997389,0.2868122659347913,1945.7161231683726,1966.133257783206,2003.653340670666,2027.3090921508526
2015-09-26,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,,,,,,,,
2015-09-27,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,,,,,,,,
2015-09-28,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1881.77,-0.02566611782492978,4.61266835259423,0.009069450190921783,1929.7295923762795,1958.797322323797,1998.873601820836,2026.1585854935338
2015-09-29,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1884.09,0.0012328818080848958,5.270735239471331,0.20702804863027524,1918.3196942822096,1952.3010334260757,1994.3722841023719,2025.0355136714506
2015-09-30,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1920.03,0.0190755218699743,4.700717999137332,0.612899791348872,1918.7472707116572,1949.494856606417,1991.4569004120829,2024.2054305594236
2015-10-01,7.5,12155.05,243.768,13419.8,2.07,0.123548387,1923.82,0.001973927490716232,4.3962672767237,0.6860769794263252,1920.0154530337427,1947.262260379772,1988.8044729449425,2023.4118698435389
2015-10-02,7.5,12155.05,243.768,13419.8,2.07,0.123548387,1951.36,0.014315268580220586,5.491561000289591,0.872782130592548,1927.851589775307,1947.6185855641397,1987.3360622412192,2022.842289844776
2015-10-03,7.5,12155.05,243.768,13419.8,2.07,0.123548387,,,,,,,,
2015-10-04,7.5,12155.05,243.768,13419.8,2.07,0.123548387,,,,,,,,
2015-10-05,7.5,12155.05,243.768,13419.8,2.07,0.123548387,1987.05,0.01828980813381431,7.10905448627619,0.8913059425458641,1942.6511923314804,1951.0474042107362,1987.3248441141127,2022.5593468420504
2015-10-06,7.5,12155.05,243.768,13419.8,2.07,0.123548387,1979.92,-0.0035882338139452408,5.665510216629187,0.7484643623805527,1951.9683942486104,1953.5580647141505,1987.0344580704223,2022.2222769065402
2015-10-07,7.5,12155.05,243.768,13419.8,2.07,0.123548387,1995.83,0.008035678209220576,5.384364022815094,0.7665029775731,1962.9337956864579,1957.2338851737895,1987.379381283347,2022.0136423064887
2015-10-08,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2013.43,0.008818386335509576,4.1147632305389,0.8416428039159133,1975.5578467648434,1962.1205038543296,1988.400974174196,2021.9457874265956
2015-10-09,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2014.89,0.0007251307470337309,2.7947624226024854,0.7984298848920145,1985.3908850736327,1966.7091556930836,1989.4397595006983,2021.8900104508914
2015-10-10,7.5,12155.05,243.768,13419.8,2.07,0.123548387,,,,,,,,
2015-10-11,7.5,12155.05,243.768,13419.8,2.07,0.123548387,,,,,,,,
2015-10-12,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2017.46,0.0012755038736604885,2.871061340609451,0.7285869008704163,1993.4081638052246,1971.1222725893372,1990.5385924614552,2021.8549906054297
2015-10-13,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2003.69,-0.006825414134604912,1.611380402788539,0.3341240966118664,1995.9786228539183,1973.9542488859165,1991.054333933555,2021.7113938417506
2015-10-14,7.5,12155.05,243.768,13419.8,2.07,0.123548387,1994.24,-0.004716298429397803,1.7166992654015647,0.07945786098927156,1995.5439671404388,1975.718227243663,1991.179262014592,2021.494228673041
2015-10-15,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2023.86,0.01485277599486512,2.098480677504851,0.8088383138363919,2002.6229753553291,1979.9044683529098,1992.4608595826471,2021.5129304226616
2015-10-16,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2033.11,0.004570474242289402,2.7656982039839777,0.8345286241756509,2010.2447315164968,1984.531036322222,1994.0549435205826,2021.6046068620083
2015-10-17,7.5,12155.05,243.768,13419.8,2.07,0.123548387,,,,,,,,
2015-10-18,7.5,12155.05,243.768,13419.8,2.07,0.123548387,,,,,,,,
2015-10-19,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2033.66,0.00027052151629769483,3.167925179952286,0.7495009101514756,2016.0985486373725,1988.8031201202898,1995.6080829903638,2021.6999064125062
2015-10-20,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2030.77,-0.001421083170244808,2.9379154191385113,0.6285714032993549,2019.7664114780296,1992.4524140228732,1996.986981696624,2021.7716067570714
2015-10-21,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2018.94,-0.005825376581296671,1.133082840979215,0.1027796808022621,2019.5598086085224,1994.7556823687103,1997.847884375188,2021.7492225139326
2015-10-22,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2052.51,0.016627537222502875,2.119292167221563,0.9341317609703188,2027.7973564563918,1999.777796945344,1999.9914967526317,2021.9923907154036
2015-10-23,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2075.15,0.011030396928638497,3.854745300713722,0.9184861542495286,2039.635517342294,2006.3319015587927,2002.9388890368423,2022.4126089706178
2015-10-24,7.5,12155.05,243.768,13419.8,2.07,0.123548387,,,,,,,,
2015-10-25,7.5,12155.05,243.768,13419.8,2.07,0.123548387,,,,,,,,
2015-10-26,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2071.18,-0.0019131147145990957,4.2946303838225575,0.7439011410918117,2047.5216380067204,2011.9708666406368,2005.6150110353976,2022.7981219431822
2015-10-27,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2065.89,-0.0025540995953997614,3.9646865853553677,0.6122842377693098,2052.1137285050404,2016.6594869327555,2007.978736092833,2023.1387692005485
2015-10-28,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2090.35,0.011839933394323987,2.3806938106319264,0.8921341966652552,2061.6727963787803,2023.0673576342551,2011.2089817362514,2023.6700832780148
2015-10-29,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2089.41,-0.00044968545937285054,1.8919786433844878,0.7800918966766464,2068.6070972840853,2028.8362830573633,2014.27568833483,2024.189766414157
2015-10-30,7.5,12155.05,243.768,13419.8,2.07,0.123548387,2079.36,-0.0048099702786910115,1.8652975391706523,0.5031456290703108,2071.295322963064,2033.2296497480277,2016.8280142824838,2024.625894742899
